Brief,Category,Clients,Status,Level of effort,Shortlisted Agencies,Winning Agency,Pitch Feedback Form,Quality: How would you rate the quality of delivery against your brief?,Value: How would you rate the agency in terms of value for money?,Chemistry: How would you rate the quality of the team and service you received?,Overall: How likely would you be to recommend this agency to your network and colleagues?,Would you like to share any other project feedback to the agency?,Studiospace: How would you rate your overall experience of working with Studiospace?,Overall: How likely would be to recommend  Studiospace to your network and colleagues?,Would you like to share any feedback to Studiospace?,Client Feedback
Simply Waste website hosting and maintenance ,Software Development,Biffa,5. Archived,Low (1-5 hours),Apex1,Apex1,,,,,,,,,,
Digital Roadmap,Strategic Design,CFS,5. Archived,Medium (5-10 hours),Path Ventures,Path Ventures,,10,10,10,10,,10,10,,Natalie Gheller
Visualisation,Strategic Design,CFS,5. Archived,Low (1-5 hours),Sketch & Co,Sketch & Co,,9,10,10,9,,10,10,,Natalie Gheller 
Adobe website design & planning sprint,Software Development,CFS,5. Archived,High (10+ hours),VERSA AGENCY,VERSA AGENCY,,9,7,10,8,,10,10,,Natalie Gheller
DSM MVP Planning,Strategic Design,CFS,5. Archived,Low (1-5 hours),Path Ventures,Path Ventures,,,,,,,,,,
New Starts Academy,Spatial & Event Design,Gala Games,5. Archived,Medium (5-10 hours),S+Co,S+Co,,10,10,10,10,"Literally best experience working with agency. Response to brief was fast, spot on and the quality of delivery was exceptional. The relationships established quickly; delivering trust and respect. Highly recommend.",10,10,Thanks to Pete for leaning in to my request so quickly. And to Gideon for helping me shape the right brief and then identifying the best agencies to meet my brief. Thanks also for listening and helping get from the big idea to something amazing and realistic within our timescales. ,Gill McLaughlin
VOX creative concepts ,Creative & Production,Gala Games,5. Archived,Medium (5-10 hours),"Studio Something,off brand.,Daughter Studio",Studio Something,,,,,,,,,,
VOX social media account,Social & Content,Gala Games,5. Archived,Medium (5-10 hours),"Buddy Media,GH05T Ltd.,off brand.",GH05T Ltd.,,,,,,,,,,
VOX Souls Website,UX/UI Design,Gala Games,5. Archived,Medium (5-10 hours),off brand.,off brand.,,,,,,,,,,
Future app vision,Strategic Design,JLR,5. Archived,High (10+ hours),"Rip + Tear,Remesh","Rip + Tear,Remesh",,,,,,,,,,"Jack Lydon,Tom Bolton"
Strat Roadmap,Business Consultancy,Leaders Romans,5. Archived,High (10+ hours),,Studiospace,,,,,,,,,,
CMS implementation and website redesign (Discover),Software Development,MA Financial Group,5. Archived,High (10+ hours),"PALO IT,IE",PALO IT,"Amelia Pridham,Amelia Pridham",10,10,10,10,"The team at Palo IT are fantastic. The communication has been regular and clear, leaving us feeling well-supported and in safe hands. Each fortnight the team delivered strong, data-driven presentations during each Playback session. These sessions have yielded positive feedback from key senior stakeholders within the business. ",10,10,Thank you Studiospace team! We really appreciate your expertise and guidance,Amelia Pridham
Data Visualisation,Strategic Design,Oxford Properties,5. Archived,High (10+ hours),"NMD+,infogr8 Ltd",infogr8 Ltd,"Chantelle Cole,Chantelle Cole,Matt Stephen ,Matt Stephen ",,,,,,,,,
Digital Health Solutions,Strategic Design,Silverchain,5. Archived,High (10+ hours),"Tobias,VERSA AGENCY",Tobias,"Katy Aish and Ben Laffy,Katy Aish and Ben Laffy",,,,,,,,,
Prop vision,Proposition Design,Snugg Energy,5. Archived,Low (1-5 hours),Rufus Leonard,Rufus Leonard,,,,,,,,,,
Cover Sense ph2 (JN),Proposition Design,TAL,5. Archived,Medium (5-10 hours),Path Ventures,Path Ventures,,,,,,,,,,
Cover Sense ph2 (UX),UX/UI Design,TAL,5. Archived,Medium (5-10 hours),,Studiospace,,,,,,,,,,
Cover sense ph2 (Quill Peak),Research & Insight,TAL,5. Archived,Medium (5-10 hours),Quill Peak Consulting,Quill Peak Consulting,,,,,,,,,,
Cover Sense ph3 (product),Strategic Design,TAL,5. Archived,Medium (5-10 hours),Path Ventures,Path Ventures,,10,10,10,10,"1- we worked very well together because Jaimes has been a good listener, hands on. He was pushing the boundaries to try to achieve as much as we could within the time constraints
2- he managed well the other companies involved in Phase 3
3- great knowledge and expertise in customer testing and prototyping that help the project to achieve great outcomes",10,10,"Thoughtful guidance, meticulous narrative for key stakeholders, being present and available when needed",Anna Terenziani and Anna Dalagan
Cover Sense ph3 (research),Research & Insight,TAL,5. Archived,Medium (5-10 hours),"Objective Experience,MyMavins",MyMavins,Pete,7,7,7,4,TAL and Studiospace had to do a lot of leg work to ensure the research would deliver desired outcome. MyMavis's approach seemed more passive than active and we (TAL and Studiospace) ended up doing a lot of strategic thinking.,,,,Anna Terenziani and Anna Dalagan
Cover Sense ph3 (UX),UX/UI Design,TAL,5. Archived,Medium (5-10 hours),Raw.Studio,Raw.Studio,,7,7,7,5,They worked on a prototype that was created by another company and that company seemed adding more value.,,,,Anna Terenziani and Anna Dalagan
Cover Sense ph3 (data science),Research & Insight,TAL,5. Archived,Medium (5-10 hours),Ellipsis,Ellipsis,,10,10,10,10,"very experienced, hands on, inputting considerations on things that were not strictly related to their remit, aiming high and very committed",,,,Anna Terenziani and Anna Dalagan
Cover Sense ph3 (CDR),Research & Insight,TAL,5. Archived,Medium (5-10 hours),Quill Peak Consulting,Quill Peak Consulting,,10,10,10,10,David is a pleasure to work with. He is not only very knowledgeable in his field but has the patience and expertise to explain complex issues with a very simple language. Appreciate his strategic thinking and support throughout.,,,,Anna Terenziani and Anna Dalagan
Cover Sense ph3 (marcomms),Creative & Production,TAL,5. Archived,Medium (5-10 hours),"Head & Heart Creative,Cocogun",Cocogun,,10,10,10,10,We did not worked directly with them but they understood the brief very well and came up with compelling materials. They went above and behind providing alternatives.,,,,Anna Terenziani and Anna Dalagan
Claims Intake Experience,Proposition Design,TAL,5. Archived,Low (1-5 hours),Path Ventures,Path Ventures,,,,,,,,,,
UX Prototyping,UX/UI Design,TAL,5. Archived,Medium (5-10 hours),"Raw.Studio,blueegg ,Helium",Raw.Studio,,,,,,,,,,
Bid support,Strategic Design,TAL,5. Archived,Low (1-5 hours),Path Ventures,Path Ventures,,,,,,,,,,
Healthscout UX Prototype (extension),UX/UI Design,TAL,5. Archived,Low (1-5 hours),Raw.Studio,Raw.Studio,,,,,,,,,,
Experience Design ,UX/UI Design,TfNSW,5. Archived,High (10+ hours),Sketch & Co,Sketch & Co,,,,,,,,,,
SME engagement ,Proposition Design,Wave,5. Archived,Low (1-5 hours),NMD+,NMD+,,,,,,,,,,
